,Game,Total,Twitch_Year,Genre
119,Diablo II: Lord of Destruction,59886717.050307,2018,Role-Playing
120,Diablo II: Lord of Destruction,117059229.434637,2019,Role-Playing
121,Diablo II: Lord of Destruction,185378443.606545,2020,Role-Playing
122,Diablo III,1365120607.93353,2016,Role-Playing
123,Diablo III,720855107.452998,2017,Role-Playing
124,Diablo III,593091960.9184921,2018,Role-Playing
125,Diablo III,848910668.1831931,2019,Role-Playing
126,Diablo III,461169086.508627,2020,Role-Playing
127,Diablo III,728524022.5278751,2021,Role-Playing
128,Dishonored,5924453.743319999,2016,Action
129,Divinity: Original Sin,2322231.790389,2016,Role-Playing
130,Divinity: Original Sin,2593189.225158,2017,Role-Playing
131,Donkey Kong 64,715478.809227,2016,Platform
132,Donkey Kong 64,3048706.3616100005,2017,Platform
133,Donkey Kong 64,5651379.50916,2019,Platform
134,Donkey Kong Country,1255706.41833,2016,Platform
135,Donkey Kong Country,2300008.180365,2018,Platform
136,Donkey Kong Country 2: Diddy's Kong Quest,2118722.270175,2016,Platform
137,Donkey Kong Country: Tropical Freeze,2438765.538825,2016,Platform
138,Donkey Kong Country: Tropical Freeze,4681668.426434999,2018,Platform
139,Dying Light,64850805.984006,2016,Action
140,Dying Light,10045556.310594,2017,Action
141,Dying Light,10876400.91531,2018,Action
142,Dying Light,4730608.331253001,2019,Action
143,Dying Light,9000012.093408,2020,Action
144,Dying Light,16417484.67429,2021,Action
145,EA Sports UFC 2,106543697.560608,2016,Sports
146,EVE Online,40233815.069469005,2016,Role-Playing
147,EVE Online,31532360.985594,2017,Role-Playing
148,EVE Online,24070487.882595003,2018,Role-Playing
149,EVE Online,2455062.8170950003,2019,Role-Playing
150,Euro Truck Simulator 2,44836366.3188,2016,Action
151,Euro Truck Simulator 2,52287289.080285,2017,Action
152,Euro Truck Simulator 2,92568623.513289,2018,Action
153,Euro Truck Simulator 2,118549440.497985,2019,Action
154,Euro Truck Simulator 2,204901444.433973,2020,Action
