,Unnamed: 0,Rank,Game,Year,Hours_watched,Avg_viewers,Total
2400,2400,1,League of Legends,2017,99332369,133690,209434849115.5013
2401,2401,2,Counter-Strike: Global Offensive,2017,72376812,97411,111190243981.58736
2402,2402,3,Dota 2,2017,39036428,52538,32344678517.597534
2403,2403,4,Hearthstone,2017,37651061,50674,30089961902.71289
2404,2404,5,Overwatch,2017,25700463,34590,14020088048.24607
2405,2405,6,Z1: Battle Royale,2017,20399947,27456,8833352000.94547
2406,2406,7,World of Warcraft,2017,12870858,17322,3516128714.894796
2407,2407,8,Resident Evil 7 biohazard,2017,10247987,13792,2229076873.058784
2408,2408,9,Minecraft,2017,10054852,13532,2145837859.3105445
2409,2409,10,FIFA 17,2017,9150705,12315,1777248689.7548246
2410,2410,11,Talk Shows & Podcasts,2017,8141681,10957,1406905656.1658072
2411,2411,12,RuneScape,2017,7186318,9672,1096180193.6336162
2412,2412,13,Destiny,2017,6409419,8626,871941501.2446738
2413,2413,14,SMITE,2017,5997773,8072,763537567.0787759
2414,2414,15,World of Tanks,2017,5768422,7763,706229480.2392061
2415,2415,16,For Honor,2017,5536991,7452,650737591.474572
2416,2416,17,Heroes of the Storm,2017,5488695,7387,639435036.7380149
2417,2417,18,Tom Clancy's Rainbow Six Siege,2017,5311227,7148,598740504.549516
2418,2418,19,StarCraft II,2017,5249904,7065,584955407.2269601
2419,2419,20,Creative,2017,5032372,6773,537542794.3736761
2420,2420,21,IRL,2017,4753417,6397,479558394.426279
2421,2421,22,Arma 3,2017,4352882,5858,402147611.244876
2422,2422,23,Grand Theft Auto V,2017,4293651,5778,391258251.803538
2423,2423,24,Dead by Daylight,2017,4292105,5776,390981991.22808
2424,2424,25,Poker,2017,4121682,5547,360571900.721634
2425,2425,26,The Binding of Isaac: Afterbirth,2017,3754499,5053,299199265.44263697
2426,2426,27,Conan Exiles,2017,3292407,4431,230077684.581507
2427,2427,28,NBA 2K17,2017,3150126,4239,210596220.861894
2428,2428,29,Path of Exile,2017,3029024,4076,194713526.066304
2429,2429,30,Pok<U+00E9>mon Sun/Moon,2017,2704126,3639,155191600.200294
2430,2430,31,Call of Duty: Infinite Warfare,2017,2599848,3499,143466707.625192
2431,2431,32,Rocket League,2017,2360842,3177,118288730.081214
2432,2432,33,Dark Souls III,2017,2335640,3143,115773594.43692
2433,2433,34,Tom Clancy's The Division,2017,2191513,2949,101924374.641327
2434,2434,35,ARK: Survival Evolved,2017,2167646,2917,99720401.757522
2435,2435,36,Diablo III,2017,2163755,2912,99370777.26576
2436,2436,37,Clash Royale,2017,2089145,2811,92616563.189745
2437,2437,38,Battlefield 1,2017,2052139,2761,89357788.59060901
2438,2438,39,Super Smash Bros. Melee,2017,1971856,2653,82503368.009328
2439,2439,40,Street Fighter V,2017,1962277,2641,81731213.367447
2440,2440,41,The Forest,2017,1868282,2514,74074194.010908
2441,2441,42,Magic: The Gathering,2017,1831068,2464,71154833.726592
2442,2442,43,Black Desert Online,2017,1821429,2451,70406829.816309
2443,2443,44,Borderlands 2,2017,1820414,2450,70338885.52530001
2444,2444,45,Rust,2017,1807206,2432,69315516.24883199
2445,2445,46,Call of Duty: Modern Warfare Remastered,2017,1740196,2342,64275326.073672
2446,2446,47,Paladins,2017,1675358,2254,59555348.074572
2447,2447,48,Fallout 4,2017,1459694,1964,45212918.121336
2448,2448,49,DayZ,2017,1434073,1930,43650356.99619
2449,2449,50,Warcraft III,2017,1380240,1857,40422739.679280005
2450,2450,51,Super Smash Bros. for Wii U,2017,1374291,1849,40075121.274489
2451,2451,52,Bloodborne,2017,1242944,1672,32775329.545728
2452,2452,53,XCOM 2,2017,1219112,1640,31531649.17728
2453,2453,54,Super Mario Maker,2017,1171104,1576,29107902.345984
2454,2454,55,Call of Duty: Black Ops III,2017,1107967,1491,26053357.607487
2455,2455,56,Halo 5: Guardians,2017,1080741,1454,24782508.616194
2456,2456,57,The Witcher 3: Wild Hunt,2017,1067593,1436,24177945.215508003
2457,2457,58,Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,2017,1057516,1423,23732914.721628
2458,2458,59,The Legend of Zelda: The Wind Waker HD,2017,1038937,1398,22906335.446946
2459,2459,60,Music,2017,1032997,1390,22645040.00493
2460,2460,61,Dungeons & Dragons,2017,1032393,1389,22615517.434167
2461,2461,62,Madden NFL 17,2017,1025337,1379,22299243.371433
2462,2462,63,The Elder Scrolls V: Skyrim,2017,1015083,1366,21868121.874438
2463,2463,64,RimWorld,2017,901552,1213,17246890.806096002
2464,2464,65,Undertale,2017,867593,1167,15967838.339901002
2465,2465,66,The Legend of Zelda: Ocarina of Time,2017,853314,1148,15449342.127912
2466,2466,67,7 Days to Die,2017,851122,1145,15369386.595989998
2467,2467,68,World of Warships,2017,831995,1119,14682838.929255
2468,2468,69,Final Fantasy XV,2017,804159,1082,13722347.699298
2469,2469,70,Nioh,2017,768167,1033,12514548.894981
2470,2470,71,Paragon,2017,765627,1030,12436944.51951
2471,2471,72,ASTRONEER,2017,761112,1024,12291581.288448
2472,2472,73,Tibia,2017,756429,1018,12144375.310662
2473,2473,74,Let It Die,2017,751888,1011,11988463.930128
2474,2474,75,Warframe,2017,737234,992,11533902.074688
2475,2475,76,Shadowverse,2017,723928,974,11120224.707312
2476,2476,77,Darkest Dungeon,2017,711586,957,10739858.625342
2477,2477,78,Stardew Valley,2017,696427,937,10291399.153329
2478,2478,79,Pok<U+00E9>mon Emerald,2017,684552,921,9943180.094232
2479,2479,80,Summoners War: Sky Arena,2017,678735,913,9773053.002405
2480,2480,81,Final Fantasy,2017,675710,909,9686869.77069
2481,2481,82,Dark Souls,2017,672288,904,9584799.259392
2482,2482,83,Elite: Dangerous,2017,672086,904,9581919.348624
2483,2483,84,Super Mario Galaxy 2,2017,669867,901,9518589.683757002
2484,2484,85,Super Metroid,2017,661352,890,9282862.32888
2485,2485,86,Final Fantasy XIV: Heavensward,2017,656262,883,9138968.765766
2486,2486,87,osu!,2017,624843,840,8277695.120520001
2487,2487,88,Heroes of Might and Magic III: The Shadow of Death,2017,622697,838,8229624.576305999
2488,2488,89,Detention,2017,617452,831,8092141.293851999
2489,2489,90,Super Mario Sunshine,2017,615295,828,8034760.84446
2490,2490,91,Jackbox Party Packs,2017,608211,818,7846334.267057999
2491,2491,92,EVE Online,2017,584184,786,7241548.369104001
2492,2492,93,Paper Mario: The Thousand-Year Door,2017,582545,784,7202856.680880001
2493,2493,94,Gears of War 4,2017,563639,758,6737976.207102
2494,2494,95,Casino_old,2017,552559,743,6474805.135827
2495,2495,96,Games + Demos,2017,530507,714,5973770.890458
2496,2496,97,The Culling,2017,526317,708,5876786.148156
2497,2497,98,The Elder Scrolls Online,2017,520660,700,5747930.202
2498,2498,99,Roblox,2017,519359,699,5725376.741511
2499,2499,100,Euro Truck Simulator 2,2017,503627,677,5377208.859309001
2500,2500,101,Infestation: The New Z,2017,501331,674,5328975.0694740005
2501,2501,102,Retro,2017,493602,664,5168972.502288001
2502,2502,103,The Sims 4,2017,489796,659,5090493.419844001
2503,2503,104,Metal Gear Solid 2: Sons of Liberty,2017,486855,655,5029214.584275
2504,2504,105,Tabletop Simulator,2017,473928,637,4761140.876856
2505,2505,106,The Legend of Zelda: A Link to the Past,2017,469142,631,4668667.082142
2506,2506,107,Stonehearth,2017,456406,614,4419559.121963999
2507,2507,108,The Long Dark,2017,455827,613,4406763.589221001
2508,2508,109,Blood Bowl 2,2017,444527,598,4192359.919566
2509,2509,110,The Legend of Zelda: Ocarina of Time 3D,2017,443399,596,4167735.994884
2510,2510,111,Subnautica,2017,439979,592,4107834.014928
2511,2511,112,Star Wars: Force Arena,2017,434898,585,4012384.16943
2512,2512,113,Garry's Mod,2017,426124,573,3850790.119092
2513,2513,114,MapleStory,2017,424077,570,3812227.46919
2514,2514,115,Super Mario 64,2017,418177,562,3706429.040454
2515,2515,116,Resident Evil 6,2017,416217,560,3675928.651920001
2516,2516,117,StarCraft: Brood War,2017,404840,544,3473294.0121600004
2517,2517,118,Blade & Soul,2017,401162,539,3410105.2611780004
2518,2518,119,Football Manager 2017,2017,394850,531,3306632.2348500006
2519,2519,120,Guild Wars 2,2017,371176,499,2921054.5313040004
2520,2520,121,UNO,2017,369826,497,2898765.345462
2521,2521,122,Farming Simulator 17,2017,366994,493,2853416.150382
2522,2522,123,Mass Effect 2,2017,365563,492,2836524.683916
2523,2523,124,Mario Kart 8,2017,365054,491,2826817.917294
2524,2524,125,Escape From Tarkov,2017,358976,483,2734461.2695679995
2525,2525,126,Tetris with Cardcaptor Sakura: Eternal Heart,2017,357195,480,2703994.7256
2526,2526,127,Yakuza 0,2017,354847,477,2669431.301649
2527,2527,128,Mega Man,2017,351917,473,2625189.262311
2528,2528,129,Social Eating,2017,350287,471,2601981.2264670003
2529,2529,130,Halo 2,2017,349319,470,2589281.67603
2530,2530,131,Gwent: The Witcher Card Game,2017,347339,467,2558171.533323
2531,2531,132,S.T.A.L.K.E.R.: Call of Pripyat,2017,347109,467,2556477.5702130003
2532,2532,133,Enter the Gungeon,2017,344728,463,2517194.548344
2533,2533,134,Kirby's Dream Land 3,2017,343155,461,2494884.749805
2534,2534,135,Assassin's Creed II,2017,341584,459,2472688.660176
2535,2535,136,The Legend of Zelda: The Minish Cap,2017,341488,459,2471993.7268320005
2536,2536,137,Dying Light,2017,336509,452,2398801.714428
2537,2537,138,Left 4 Dead 2,2017,330371,444,2313364.7822040003
2538,2538,139,Batman: Arkham City,2017,325415,437,2242736.424705
2539,2539,140,Resident Evil 4,2017,322086,433,2199474.726498
2540,2540,141,Until Dawn,2017,320593,431,2179167.119493
2541,2541,142,The Last of Us,2017,317882,427,2140686.368394
2542,2542,143,Dark Souls II,2017,310967,418,2049980.912826
2543,2543,144,Age of Empires II,2017,310965,418,2049967.72827
2544,2544,145,Fallout: New Vegas,2017,308800,415,2021085.192
2545,2545,146,Microsoft Flight Simulator X,2017,308688,415,2020352.15592
2546,2546,147,Miscreated,2017,305321,410,1974239.17131
2547,2547,148,Mass Effect,2017,305083,410,1972700.23713
2548,2548,149,Devil May Cry,2017,300716,404,1916007.182544
2549,2549,150,Sly Cooper and the Thievius Raccoonus,2017,297707,400,1878054.8388
2550,2550,151,Mighty No. 9,2017,297508,400,1876799.4672
2551,2551,152,Diablo II: Lord of Destruction,2017,297395,400,1876086.618
2552,2552,153,Metroid Prime 2: Echoes,2017,297191,399,1870112.705139
2553,2553,154,Grand Theft Auto: San Andreas,2017,295857,398,1857052.377306
2554,2554,155,Silent Hill 4: The Room,2017,289431,389,1775635.741089
2555,2555,156,My Summer Car,2017,283153,381,1701395.8719030002
2556,2556,157,Blaster Master,2017,280728,377,1669115.2055759998
