Game,Total,Twitch_Year
60 Seconds!,14467645.60563,2016
7 Days to Die,149457827.025696,2016
ABZ<U+00DB>,2427876.21531,2016
APB Reloaded,1746921.9072059998,2016
ARAYA,445987.383534,2016
ARK: Survival Evolved,505622449.834257,2016
ARK: Survival Of The Fittest,716139.992631,2016
ASTRONEER,39212887.963893,2016
Agar.io,5315992.161479999,2016
Age of Empires,1310999.9543760002,2016
Age of Empires II,5961096.384369,2016
Age of Empires II: HD Edition,338785.36734,2016
Albion Online,5811263.762304,2016
Alien: Isolation,4662774.169136999,2016
American Truck Simulator,109958488.780161,2016
Amnesia: The Dark Descent,1077801.826311,2016
Animal Crossing: New Leaf,301575.932322,2016
Ape Escape,584559.984729,2016
ArcheAge,15503572.509306,2016
Ark: Survival Evolved,80866995.18187499,2016
Arma 3,3553237156.718508,2016
Armored Warfare,379556.335746,2016
Atlas Reactor,1429442.876988,2016
Attack on Titan,4298870.298555,2016
Azure Striker GUNVOLT,824068.9730700001,2016
Banjo-Kazooie,1232740.215,2016
Barbie and The Magic of Pegasus,1462258.495635,2016
Batman: The Telltale Series,5552340.247146,2016
BattleBlock Theater,2342284.191072,2016
Battleborn,36213760.43762399,2016
Battlefield 1,2138035234.3857567,2016
Battlefield 4,102968434.555077,2016
Battlefield Hardline,214573.44447,2016
Battlefield: Bad Company 2,343933.053282,2016
Battlefleet Gothic: Armada,331646.71881600004,2016
Battlerite,81780385.45292701,2016
Ben and Ed,281314.26624,2016
Beyond: Two Souls,1658888.406,2016
BioShock,758696.947932,2016
BioShock: The Collection,8689706.660249999,2016
Bioshock Infinite,1228773.0357210003,2016
Black Desert Online,412603653.2509501,2016
Blackjack,2452995.806751,2016
Blackwake,558171.9633000001,2016
Blade & Soul,835502646.039579,2016
Blast Corps,676803.0023999999,2016
BlazBlue: Central Fiction,327146.85824100004,2016
Blood Bowl 2,825572.10708,2016
Bloodborne,147626056.20800102,2016
Bloodborne: The Old Hunters,2617185.62175,2016
Bloons TD 5,632676.69066,2016
Board Games,7261303.076390999,2016
Borderlands 2,10199087.263701,2016
Borderlands: The Handsome Collection,363357.957417,2016
Brain Age: Train Your Brain in Minutes a Day!,633025.1035920001,2016
Breakaway,419339.471796,2016
Breaking Point,681556.302945,2016
Bully: Scholarship Edition,768599.306496,2016
Call of Duty 4: Modern Warfare,4996731.181743,2016
Call of Duty: Black Ops,3002281.237368,2016
Call of Duty: Black Ops II,15840120.744525002,2016
Call of Duty: Black Ops III,35617306294.67163,2016
Call of Duty: Infinite Warfare,1141767625.313448,2016
Call of Duty: Modern Warfare 2,3643109.610966,2016
Call of Duty: Modern Warfare 3,230400.74694000004,2016
Call of Duty: Modern Warfare Remastered,714186935.694813,2016
Cards Against Humanity,192146.798592,2016
Casino Games,19036560.355764,2016
Casino_old,4233779.801538,2016
Castlevania,643984.623828,2016
Castlevania: Symphony of the Night,961369.24884,2016
Chess,23530670.776851,2016
Choice Chamber,328994.0997,2016
Chowderchu,638579.4447689999,2016
Chronicle: RuneScape Legends,284234.203806,2016
Cities: Skylines,11354639.978073,2016
Clash Royale,410005932.686301,2016
Clash of Clans,8557190.343849,2016
Clustertruck,1178245.243539,2016
Company of Heroes 2,2677418.871561,2016
Condemned: Criminal Origins,517194.48942,2016
Construction Simulator 2015,224467.586343,2016
Corpse Party,1331608.6455420002,2016
Cossacks 3,804109.889394,2016
Counter-Strike: Global Offensive,553743416184.5486,2016
Crash Bandicoot,3392951.9330280004,2016
Crea,692215.259463,2016
Creative,4171998742.874109,2016
Crossout,1547369.867106,2016
