Game,Total,Twitch_Year,Genre
The Evil Within,1701112.861308,2016,Action
The Evil Within,25016587.933113,2017,Action
The Evil Within,1869772.903173,2018,Action
The Last of Us,13627161.86034,2016,Action
The Last of Us,14953070.487978,2017,Action
The Last of Us,42067400.372256,2018,Action
The Last of Us,18277725.790086,2019,Action
The Last of Us,948292144.2745593,2020,Action
The Legend of Zelda: A Link Between Worlds,940626.851136,2016,Action
The Legend of Zelda: A Link Between Worlds,7049824.864151999,2019,Action
The Legend of Zelda: A Link to the Past,7842400.443444001,2016,Action
The Legend of Zelda: A Link to the Past,71819373.987942,2017,Action
The Legend of Zelda: A Link to the Past,118831944.244587,2018,Action
The Legend of Zelda: A Link to the Past,54904332.179508,2019,Action
The Legend of Zelda: A Link to the Past,53722923.352224,2020,Action
The Legend of Zelda: A Link to the Past,13195467.450227998,2021,Action
The Legend of Zelda: Four Swords Adventures,1951257.007728,2016,Action
The Legend of Zelda: Four Swords Adventures,3819633.6885,2018,Action
The Legend of Zelda: Majora's Mask,39713334.250611,2016,Action
The Legend of Zelda: Majora's Mask,20237677.034694,2017,Action
The Legend of Zelda: Majora's Mask,4004789.076624,2018,Action
The Legend of Zelda: Majora's Mask,40187284.437237,2019,Action
The Legend of Zelda: Majora's Mask,2919245.2191000003,2020,Action
The Legend of Zelda: Majora's Mask,14098988.134854,2021,Action
The Legend of Zelda: Ocarina of Time,155999673.673179,2016,Action
The Legend of Zelda: Ocarina of Time,77040836.27366701,2017,Action
The Legend of Zelda: Ocarina of Time,172106096.111334,2018,Action
The Legend of Zelda: Ocarina of Time,172745646.860451,2019,Action
The Legend of Zelda: Ocarina of Time,216148462.887252,2020,Action
The Legend of Zelda: Ocarina of Time,106165914.736896,2021,Action
The Legend of Zelda: Oracle of Ages,1163613.08322,2016,Action
The Legend of Zelda: The Wind Waker,1281937.928355,2016,Action
The Legend of Zelda: The Wind Waker,1422933.5544480002,2019,Action
The Legend of Zelda: The Wind Waker,3331147.292319,2020,Action
The Legend of Zelda: Twilight Princess HD,12025585.662615,2016,Action
The Legend of Zelda: Twilight Princess HD,9083602.667349,2017,Action
TrackMania Turbo,5896290.932405999,2016,Action
Transformers: Devastation,1529473.519833,2016,Action
Uncharted 2: Among Thieves,265066.3512,2016,Action
Uncharted: The Nathan Drake Collection,1153624.394202,2016,Action
Assassin's Creed II,2472688.660176,2017,Action
Batman: Arkham City,2242736.424705,2017,Action
Bayonetta,3448433.806356,2017,Action
Devil May Cry,1916007.182544,2017,Action
Digimon World: Next Order,551669.390748,2017,Action
God of War Collection,3689632.767744001,2017,Action
God of War Collection,1349428.8819690002,2018,Action
God of War III,1143398.509344,2017,Action
God of War III,44847547.87894501,2018,Action
Grand Theft Auto: Vice City,1522261.7096399998,2017,Action
Grand Theft Auto: Vice City,2712252.7523910003,2019,Action
Kirby: Planet Robobot,1315606.647705,2017,Action
Luigi's Mansion,1049384.392602,2017,Action
Onimusha: Warlords,1712169.1524,2017,Action
Onimusha: Warlords,2484597.72078,2019,Action
Power Rangers Samurai,427852.515657,2017,Action
Prince of Persia: The Sands of Time,1033751.246913,2017,Action
Silent Hill 4: The Room,1775635.741089,2017,Action
The Legend of Zelda: Skyward Sword,733844.7380250001,2017,Action
The Legend of Zelda: Skyward Sword,7538704.226339999,2018,Action
The Legend of Zelda: Skyward Sword,5358914.136576001,2020,Action
The Legend of Zelda: The Minish Cap,2471993.7268320005,2017,Action
The Legend of Zelda: The Minish Cap,3724347.451356,2019,Action
The Witcher 2: Assassins of Kings,1693182.3824160004,2017,Action
The Witcher 2: Assassins of Kings,5892544.846776,2020,Action
This War of Mine,1447288.7728319997,2017,Action
Tomb Raider II,1452899.211456,2017,Action
Devil May Cry HD Collection,1185663.30687,2018,Action
God of War,9383026460.449718,2018,Action
God of War,52955087.882571004,2019,Action
God of War,110594717.368128,2020,Action
God of War,138755161.38621902,2021,Action
God of War II,6300107.844765001,2018,Action
Grand Theft Auto IV,4626421.4621520005,2018,Action
Grand Theft Auto IV,8431664.365488,2020,Action
Ninja Gaiden Black,2594288.96853,2018,Action
The Legend of Zelda: Majora's Mask 3D,2802292.9398660003,2018,Action
Yakuza 3,11116906.741248,2018,Action
LEGO Star Wars: The Complete Saga,1848679.8530550003,2019,Action
The Legend of Zelda: Link's Awakening,159950620.729284,2019,Action
The Legend of Zelda: Link's Awakening,3921228.42027,2020,Action
The Legend of Zelda: Twilight Princess,13627942.20942,2019,Action
Yakuza 4,6973585.326792001,2019,Action
Yakuza 5,22933133.025474,2019,Action
Yakuza 5,7577638.157124001,2020,Action
The Legend of Zelda,6079326.855839999,2020,Action
Yakuza,89871847.22170201,2020,Action
